Time,NH3,NO,N2,O2,NO2
0.0,4.024,5.994,0.0,5.149,0.0
0.3,2.073,2.759,2.386,4.732,0.388
0.5,1.633,1.852,2.818,4.413,0.947
0.8,1.385,1.471,2.916,3.751,1.414
1.0,1.169,1.16,2.895,3.499,1.815
1.4,1.075,0.919,2.877,3.121,2.245
1.7,0.988,0.795,2.842,2.838,2.539
2.0,0.928,0.673,2.822,2.569,2.783
3.0,0.799,0.467,2.679,1.979,3.41
3.5,0.79,0.404,2.65,1.789,3.551
4.0,0.755,0.357,2.591,1.665,3.746
5.0,0.725,0.28,2.547,1.392,3.989
6.0,0.686,0.229,2.419,1.223,4.183
7.0,0.647,0.198,2.421,1.096,4.273
8.0,0.647,0.172,2.383,1.019,4.361
9.0,0.618,0.146,2.35,0.923,4.473
10.0,0.63,0.127,2.34,0.859,4.437
